DISTRICT,NEIGHBORHOOD,LAT,LONG
North Side,Arlington Heights,43.0861,-87.9284
North Side,Brewer's Hill,43.0563,-87.9114
North Side,Franklin Heights,43.0837,-87.9482
North Side,Granville,43.1775,-88.044
North Side,Grover Heights,43.0917,-87.92
North Side,Halyard Park,43.057,-87.9169
North Side,Harambee,43.0711,-87.914
North Side,Havenwoods,43.1254,-87.9751
North Side,Hillside,43.0529,-87.9224
North Side,Metcalfe Park,43.0632,-87.9543
North Side,Midtown,43.0521,-87.9457
North Side,Park West,43.0666,-87.9408
North Side,Sherman Park,43.0718,-87.9604
North Side,Williamsburg Heights,43.0855,-87.9161
South Side,Bay View,44.6328,-87.7443
South Side,Clarke Square,43.0216,-87.9396
South Side,Holler Park,42.9484,-87.9175
South Side,Jackson Park,42.9943,-87.9702
South Side,Jones Island,43.016,-87.8979
South Side,Layton Park,42.9989,-87.9555
South Side,Lincoln Village,43.0013,-87.9248
South Side,Mitchell Street,43.0123,-87.9255
South Side,Tippecanoe,42.9738,-87.8995
South Side,Town of Lake,42.9665,-87.9096
South Side,Walkers Point,43.0233,-87.9239
East Side,The East Side,43.066667,-87.883333
East Side,Lower East Side,43.0512,-87.8967
East Side,East Village,43.0512,-87.8967
East Side,Murray Hill,43.0643,-87.8832
East Side,Riverwest,43.0707,-87.9016
West Side,Avenues West,43.041,-87.9372
West Side,Cold Spring Park,43.0461,-87.9519
West Side, Historic Concordia District,43.042222,-87.9525
West Side,Enderis Park,43.0724,-87.9947
West Side,Grantosa Heights,43.10646,-88.01295
West Side,Kops Park,43.0788,-43.0788
West Side,Martin Drive,43.0463,-87.9617
West Side,Merrill Park,43.0365,-87.9568
West Side,Mount Mary,43.073,-88.029
West Side,Story Hill,43.0368,-87.9762
West Side,Walnut Hill,43.0559,-87.9543
West Side,Washington Heights,43.0551,-87.9776
West Side,Washington Park,43.0524,-87.9653
Downtown,East Town,43.0416,-87.9016
Downtown,Menomonee River Valley,43.0326,-87.9408
Downtown,Historic Third Ward,43.0319,-87.9016
Downtown,Westown,43.0419,-87.9163